name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source,latitude,longitude
Cooley Dickinson Hospital,30 Locust Street,,Northampton,MA,1061.0,(413) 582-2000,Hospital Services,,official_document,42.3304254,-72.6537001
1 Hospital Rd,,,,,,(508) 693-0410,Hospital Services,,official_document,,
Baystate Wing Hospital,40 Wright Street,,,,,(413) 283-7651,Hospital Services,,official_document,-37.8487072,144.958764
"Lahey Medical Center, Peabody",1 Essex Center Drive,,Peabody,MA,1960.0,(978) 538-4000,,,official_document,42.5374944,-70.9467852
Berkshire Medical Center,725 North Street,,Pittsfield,MA,1201.0,(413) 447-2000,,,official_document,42.4597763,-73.24962889999999
Beth Israel Deaconess Hospital - Plymouth,275 Sandwich Street,,,,,(508) 746-2000,Hospital Services,,official_document,41.94306599999999,-70.64531389999999
Quincy Medical Center,114 Whitwell Street,,Quincy,MA,2169.0,(617) 773-6100,,,official_document,42.25043369999999,-71.0138394
North Shore Medical Center Salem Hospital,81 Highland Avenue,,Salem,MA,1970.0,(978) 741-1200,Hospital Services,,official_document,42.5120668,-70.90621089999999
CHA Somerville Hospital,230 Highland Avenue,,Somerville,MA,2143.0,(617) 591-4500,Hospital Services,,official_document,42.3901773,-71.1093831
South Shore Hospital,55 Fogg Road,,South Weymouth,MA,2190.0,(781) 624-8000,Hospital Services,,official_document,42.1761037,-70.9539453
UMass Memorial Health- Harrington Hospital,100 South Street,,,,,(508) 765-9771,Hospital Services,,official_document,39.9419255,-75.1515889
Baystate Medical Center,759 Chestnut Street,,Springfield,MA,1199.0,(413) 794-0000,,,official_document,42.1197606,-72.6032674
Mercy Medical Center,271 Carew Street,,Springfield,MA,1102.0,(413) 886-0410,,,official_document,42.1158991,-72.59360509999999
Brown University Health Morton Hospital,88 Washington Street,,Taunton,MA,2780.0,(508) 828-7000,Hospital Services,,official_document,41.9051446,-71.0952279
Baystate Mary Lane Hospital,85 South Street,,,,,(413) 967-6211,Hospital Services,,official_document,40.7057178,-74.00423599999999
Tobey Hospital,43 High Street,,,,,(508) 295-0880,Hospital Services,,official_document,51.7527257,-1.2523205
Baystate Noble Hospital,115 West Silver Street,,Westfield,MA,1086.0,(413) 568-2811,Hospital Services,,official_document,42.1183618,-72.759812
Winchester Hospital,41 Highland Avenue,,,,,(781) 729-9000,Hospital Services,,official_document,42.4658662,-71.1221616
UMass Memorial Medical Center - Memorial Campus,119 Belmont Street,,Worcester,MA,1605.0,(508) 334-1000,,,official_document,42.2730553,-71.7922734
UMass Memorial Medical Center - University Campus,55 Lake Avenue North,,Worcester,MA,1655.0,(508) 334-1000,,,official_document,42.2718075,-71.75841989999999
Saint Vincent Hospital,123 Summer Street,,Worcester,MA,1608.0,(508) 363-5000,Hospital Services,,official_document,42.264678,-71.79647670000001
Charles River Community Health Center - Armington Street,40 Armington Street,,,,,(617) 783-0501,Primary Care,,official_document,42.3521015,-71.1374728
Charles River Community Health Center - Athol Street,30 Athol Street,,,,,(617) 783-0502,Primary Care,,official_document,54.1493173,-4.4825585
Charles River Community Health - Vision Center,300 Western Avenue,,,,,(617) 783-0500,Eye Care,,official_document,51.5231776,-0.2646668
John P Mussante Health Center,,,,,,(413) 835-4980,Primary Care,,official_document,,
Fenway Health - South End,142 Berkley Street,,Boston,MA,2116.0,(617) 247-7555,,,official_document,42.3489118,-71.0720886
Fenway Health - Ansin Building,1340 Boylston Street,,Boston,MA,2215.0,(617) 267-0900,,,official_document,42.3441103,-71.0989696
Pine Street Inn - Men's Clinic,444 Harrison Avenue,,Boston,MA,2118.0,(857) 654-1850,,,official_document,42.34315900000001,-71.0644712
Pine Street Inn - Women's Clinic,363 Albany Street,,Boston,MA,2118.0,(857) 654-1865,,,official_document,42.34260099999999,-71.06286210000002
Boston Health Care for the Homeless Program,780 Albany Street,,Boston,MA,2118.0,(857) 654-1000,,,official_document,42.3336166,-71.07280709999999
South End Community Health Center,1601 Washington Street,,Boston (South End),MA,2118.0,(617) 425-2000,Primary Care,,official_document,42.3383369,-71.0747099
South End Associates-- Of Fenway CHC,"142 Berkley Street, 2nd Floor",,Boston (South End),MA,2116.0,(617) 247-7555,,,official_document,42.3489118,-71.0720886
Charles River Community Health Center,495 Western Avenue,,,,,(617) 783-0500,Primary Care,,official_document,42.361858,-71.144012
North End Waterfront Health - Charlestown,15 Tufts Street,,Charlestown,MA,2129.0,(857) 238-1100,,,official_document,42.3778685,-71.05678759999999
Chicopee Health Center,505 Front Street,,Chicopee,MA,1013.0,(413) 420-2222,Primary Care,,official_document,42.1487126,-72.59757809999999
Holyoke Health Center - Chicopee Dental Center,601 Memorial Drive,,Chicopee,MA,1020.0,(413) 420-2839,"Dental Care, Primary Care",,official_document,42.174291,-72.57570559999999
Edward M. Kennedy CHC at Clinton,200 High Street,,Clinton,MA,1510.0,(978) 368-0340,,,official_document,42.4189402,-71.6847916
Upham's Corner Health Center Dental and Eye Care Services,636 Columbia Road,,,,,(617) 825-9839,"Dental Care, Eye Care, Primary Care",,official_document,42.3184597,-71.064123
Upham's Corner Health Center Primary Care Services,415 Columbia Road,,,,,(617) 825-9839,"Primary Care, Primary Care",,official_document,42.3118214,-71.06876129999999
Neponset Health Center,398 Neponset Avenue,,,,,(617) 282-3200,Primary Care,,official_document,42.28679500000001,-71.044066
Geiger Gibson Community Health Center,250 Mount Vernon Street,,,,,(617) 288-1140,Primary Care,,official_document,42.3194686,-71.04611229999999
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,,,,(617) 825-3400,Primary Care,,official_document,42.30249939999999,-71.08510749999999
Harvard Street Neighborhood Health Center - Behavioral Health,895 Blue Hill Avenue,,,,,(617) 822-7129,Primary Care,,official_document,42.2941665,-71.0885429
HealthFirst Family Care Center,"387 Quarry Street, Suite 100",,Fall River,MA,2723.0,(508) 679-8111,,,official_document,41.693479,-71.14024669999999
SSTAR South End Services,1010 South Main Street,,Fall River,MA,2724.0,(508) 675-1054,,,official_document,41.6907377,-71.16515849999999
Stanley Street Treatment and Resources (SSTAR),386 Stanley Street,,Fall River,MA,2720.0,(508) 679-5222,,,official_document,41.7151478,-71.1363484
Community Health Connections Family Health Center - Fitchburg Community Health Center,326 Nichols Road,,Fitchburg,MA,1420.0,(978) 878-8100,Primary Care,,official_document,42.5973818,-71.8077019
Action Community Health Center,"130 Water Street, Suite 4",,Fitchburg,MA,1420.0,(978) 878-8100,Primary Care,,official_document,42.5796585,-71.7922439
Edward M. Kennedy Community Health Center - Framingham Street - Waverley Street,354 Waverley Street,,Framingham,MA,1702.0,(508) 270-5700,Primary Care,,official_document,42.276897,-71.4138412
Edward M. Kennedy Community Health Center - Framingham Community Health Center - Concord Street,19 Concord Street,,Framingham,MA,1702.0,(508) 270-2635,Primary Care,,official_document,42.2772643,-71.4166307
Greater Gardner Community Health Center,175 Connors Street,,,,,(978) 410-6100,Primary Care,,official_document,42.5601384,-71.78269929999999
South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,,,,(978) 878-8100,,,official_document,42.5533045,-71.9938657
CHP Barrington OB/GYN,780 Main Street,,Great Barrington,MA,1230.0,(413) 528-1470,,,official_document,42.189935,-73.36504359999999
CHP Dental Center,343 Main Street,,Great Barrington,MA,1230.0,(413) 528-5565,Dental Care,,official_document,42.1930232,-73.36282270000001
CHP (Community Health Programs) Health Center,444 Stockbridge Road,,,,,(413) 528-8580,Primary Care,,official_document,42.2194127,-73.3426899
Ellen Jones Community Dental Center,351 Pleasant Lake Avenue,,Harwich,MA,2645.0,(508) 778-5400,Dental Care,,official_document,41.7107571,-70.0754669
Holyoke Health Center Dental Clinic at Holyoke Soldiers Home,110 Cherry Street,,Holyoke,MA,1040.0,(413) 532-9475,"Dental Care, Primary Care",,official_document,42.1994005,-72.6395091
River Valley Counseling Center,303 Beech Street,,Holyoke,MA,1040.0,(413) 540-1234,,,official_document,42.2041133,-72.61910379999999
Manet Community Health Center - Hull,180 George Washington Boulevard,,,,,(781) 925-4550,Primary Care,,official_document,42.2630668,-70.8605871
Hilltown Community Health Center- Huntington,73 Russell Road,,,,,(413) 667-3009,Primary Care,,official_document,51.4970713,-0.2082522
Duffy Health Center,94 Main Street,,,,,(508) 771-9599,Primary Care,,official_document,35.1138924,-90.0596664
Duffy Health Center at Lewis Bay Road,3 Lewis Bay Road,,,,,(508) 771-9599,Primary Care,,official_document,41.65511739999999,-70.2755141
Duffy Mobile Health Clinic,105 Park Street,,,,,(508) 771-9599,,,official_document,22.5541098,88.351357
Harbor Community Health Center - Hyannis,735 Attucks Lane,,,,,(508) 778-5420,Primary Care,,official_document,41.6747364,-70.29770289999999
Greater Lawrence Family Health Center - Winthrop Avenue,73D Winthrop Avenue,,Lawrence,MA,1841.0,(978) 686-3017,Primary Care,,official_document,42.6895562,-71.1507507
Greater Lawrence Family Health Center - Lawrence General Hospital,"1 General Street, Lamprey Building, 4th floor",,Lawrence,MA,1841.0,(978) 686-3017,"Hospital Services, Primary Care",,official_document,42.70975869999999,-71.1507002
Greater Lawrence Family Health Center - Essex Street,700 Essex Street,,Lawrence,MA,1841.0,(978) 689-2400,Primary Care,,official_document,42.7018808,-71.1720515
CHP Lee Family Practice,11 Quarry Hill Road,,Lee,MA,01238,(413) 243-0536,"Eye Care, Primary Care",https://www.chpberkshires.org,official_document,42.28167089999999,-73.2530836
Leominster Community Health and Urgent Care Center,165 Mill Street,,Leominster,MA,1453.0,(978) 410-6111,,,official_document,42.5321021,-71.7476154
Lowell Community Health Center--Metta Health Center,135 Jackson Street,,Lowell,MA,1852.0,(978) 937-9700,Primary Care,,official_document,42.6420574,-71.3108671
Market Square Family Health,,,,,,(781) 596-3500,,,official_document,,
Lynn Community Health Center - Buffum Street,"73 Buffum Street, 2nd Floor Suite A",,Lynn,MA,1901.0,(781) 691-9486,Primary Care,,official_document,42.4658384,-70.9449276
South Cove Community Health Center - Malden,277 Commercial Street,,Malden,MA,2148.0,(781) 912-2500,Primary Care,,official_document,42.4179705,-71.0762365
Island Health Care,245 Vineyard Haven Road,,,,,(508) 939-9358,,,official_document,,
Community Health Center of Cape Cod,107 Commercial Street,,,,,(508) 477-7090,Primary Care,,official_document,51.51951090000001,-0.0746671
Harbor Health Services,1135 Morton Street,,,,,(617) 533-2300,,,official_document,42.2756291,-71.0747834
Mattapan Community Health Center,1575 Blue Hill Avenue,,,,,(617) 296-0061,Primary Care,,official_document,42.2697831,-71.0940152
Edward M. Kennedy Community Health Center - Milford,"42 Cape Road, Suite 107",,,,,(800) 853-2288,Primary Care,,official_document,-33.9618754,25.6041836
71 Hospital Avenue,,,,,,(413) 664-4088,Hospital Services,,official_document,,
CHP Berkshire Pediatrics,777 North Street,,Pittsfield,MA,1201.0,(413) 499-8531,Pediatric Care,,official_document,42.4605533,-73.2487712
Harbor Community Health Center - Plymouth,,,,,,(508) 778-4570,Primary Care,,official_document,,
Provincetown Health Center,,,,,,(508) 487-9395,Primary Care,,official_document,,
South Cove Community Health Center- Holmes Street,88 Holmes Street,,,,,(617) 318-3200,Primary Care,,official_document,-27.2911829,153.0485907
Manet Community Health Center - Snug Harbor,9 Bicknell Street,,Quincy,MA,2171.0,(617) 471-4715,Primary Care,,official_document,42.2522173,-70.9658639
Dimock Community Health Center,45 Dimock Street,,,,,(617) 442-8800,Primary Care,,official_document,42.3202885,-71.0972811
Whittier Street Health Center,1125 Tremont Street,,,,,(617) 427-1000,Primary Care,,official_document,42.3353473,-71.088117
Ellen Jones Community Dental Center,516 Route 134 Suite 12,,South Dennis,MA,2660.0,(508) 778-5400,Dental Care,,official_document,41.6945235,-70.1511621
Caring Health Center in the South End,1040 Main Street,,Springfield,MA,1103.0,(413) 739-1100,Primary Care,,official_document,42.0994018,-72.585224
Springfield Health Services for the Homeless,311 State Street,,Springfield,MA,1103.0,(413) 750-2067,,,official_document,42.1050276,-72.5812713
Charles River Community Health Center - Waltham,43 Foundry Street,,Waltham,MA,2452.0,(781) 693-3800,Primary Care,,official_document,42.3705091,-71.2189125
Greater New Bedford Community Health Center - Wareham,127 Marion Road,,Wareham,MA,2571.0,(774) 678-4673,Primary Care,,official_document,41.7596904,-70.72883449999999
Wellfleet Health Center,"3130 State Highway, Route 6",,,,,(508) 349-3131,Primary Care,,official_document,40.1383542,-93.1634573
"Outer Cape Health Services, Inc. - Wellfleet Health Center","3173 State Highway, Route 6",,,,,(508) 349-1311,Primary Care,,official_document,40.1383542,-93.1634573
Worcester Lincoln Street,585 Lincoln Street,,Worcester,MA,1605.0,(508) 854-2122,,,official_document,42.2963128,-71.7688826
Edward M. Kennedy Community Health Center - 631 Lincoln Street,631 Lincoln Street,,Worcester,MA,1605.0,(508) 854-3260,Primary Care,,official_document,42.2975743,-71.7654763
Edward M. Kennedy Community Health Center - Norwich Street,11 Norwich Street,,Worcester,MA,1608.0,(800) 853-2288,Primary Care,,official_document,42.2641176,-71.80069940000001
Family Health Center of Worcester,26 Queen Street,,Worcester,MA,1610.0,(508) 860-7700,Primary Care,,official_document,42.2591769,-71.8146751
Family Health Center of Worcester at Webster Square,645 Park Street,,Worcester,MA,1603.0,(508) 792-7580,Primary Care,,official_document,42.5977066,-71.9971218
Community HealthLink,72 Jaques Avenue,,Worcester,MA,1603.0,(508) 792-7580,,,official_document,42.2598298,-71.81450749999999
Community HealthLink-Chandler St,162 Chandler Street,,Worcester,MA,1603.0,(508) 792-7580,,,official_document,42.2603557,-71.8144753
Community HealthLink-Queen St,12 Queen Street,,Worcester,MA,1603.0,(508) 792-7580,,,official_document,42.25978250000001,-71.8138
Community HealthLink-Spruce St,40 Spruce Street,,Worcester,MA,1603.0,(508) 792-7580,,,official_document,42.2832963,-71.7195297
Hilltown Community Health Center/Worthington Health Center,58 Old North Road,,,,,(413) 238-5511,Primary Care,,official_document,41.48161109999999,-71.5222264
